id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_7pg.png,Einzel-Raumkörper,7,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_8pg(1).png,Variabler Grundriss zu der SerienHäusern,8,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_8pg(2).png,Variabler Grundriss zu der SerienHäusern,8,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_8pg(3).png,Variabler Grundriss zu der SerienHäusern,8,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_9pg.png,Modell zu serienhaus,9,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_10pg.png,Modell zu serienhaus,10,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_11pg.png,Ein Rundhaus von Karl Fieger,11,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_13pg.png,Modell zu Serienhausern.,13,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_15pg.png,Grundriss Entwurf: Georg Muche,15,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/03_einVersuchHausdesBauhausler/03_einVersuchHausdesBauhausler_17pg.png,Schauseite von der strasse am horn gesehen mit haupteingang,17,-,-,Ein Versuchshaus des Bauhauses in Weimar,"Walter Gropius, L.Moholy-Nagy"
