id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_42pg.png,no discription,42,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_48pg.png,Zeppelin 3 fliegt über dem Ozen Foto:Gross,48,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_49pg.png,Paris - A.Stieglitz,49,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_50pg.png,Fliegendes Kranischeer,50,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_51pg.png,Staffel über dem nördlichenEismeer - Atlantic,51,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_52pg.png,Die Rankenfüße einer Entenmuschel . F.M. Duncan,52,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_53pg.png,Vergrößertes Bild einer Kopflaus - Atlantic,53,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_54pg.png,"Palucca - Charotte Rudolf, Dresden",54,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_55pg.png,Renntempo Gebannt - Atlantic,55,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_56pg.png,Englisches Flugzeuggeschwader - Sportspiegel,56,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_57pg.png,Ausvesserundsarbeiten an der graoßten Uhr der Welf (Jersez Citz USA),57,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_58pg.png,"St. Paulskirche, London, Zeitbilder",58,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_59pg.png,Animalisch wirkende kraft eines Rabrischornsteines,59,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_60pg.png,Balkons - Moholy-Nagy,60,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/08_MalereiFotografieFilm/08_MalereiFotografieFilm_61pg.png,Im Sand - Moholy- Nagy,61,-,-,Malerei Fotografie Film,"Walter Gropius, Moholy-Nagy"
