id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_9pg(1).png,"An active line on a walk, moving freely, without goal. A walk for a walk's sake. The mobility agent, is a point, shifting its position forward (Fig. 1)",9,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_9pg(2).png,"The same line, accompanied by complementary forms (Figs. 2 and 3)",9,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_9pg(3).png,"The same line, accompanied by complementary forms (Figs. 2 and 3)",9,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_9pg(4).png,"The same line, circumscribing itself (Fig. 4)",9,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_9pg(5).png,"Two secondary lines, moving around an imaginary main line (Fig. 5)",9,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_10pg(1).png,"An active line, limited in its movement by fixed points (Fig. 6)",10,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_10pg(2).png,A medial line which is both: point progression and planar effect (Fib. 7),10,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_10pg(3).png,the result of an activation of planes (line pro gression) (Fig. 8),10,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_11pg(1).png,"Active lines, passive planes; linear energy (cause), linear impact (effect), secondary planar effect.",11,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_11pg(2).png,"Medial lines; linear energy (cause), planar impact (effect).",11,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_11pg(3).png,"Active planes, passive lines; planar energy (cause), planar impact plus secondary linear effect.",11,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_11pg(4).png,"Semantic explanation of the terms active, medial, and passive:
active: I fell (the man fells a tree with his ax).
medial: I fall (the tree falls under the ax
stroke of the man).
passive: I am being felled (the tree lies felled).",11,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_12pg(1).png,"Fig. 13: The most primitive structural rhythm based on a repetition of the same unit from left to right, or top to bottom.",12,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_12pg(2).png,"Fig. 14: Very primitive structural rhythm in double motion top to bottom and left to right",12,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_12pg(3).png,"Quantitive ttructure, moving to two dimensions",12,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_12pg(4).png,"Fig. 17: If one considers section 17a as a unit with 6 values, one arrives at the following numerical presentation of Fig. 17:",12,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_13pg(1).png,"Fig. 18: Both dimensions combined, seen diagonally.",13,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_13pg(2).png,Fig 19 : linear variation,13,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_13pg(3).png,Fig 20 : structural character is dicisional,13,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_14pg(1).png,Fig 21 : material structure in nature.,14,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_14pg(2).png,Fig 22 : material structure in nature.,14,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_15pg(1).png,Fig 23 : material structure in nature.,15,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_16pg(1).png,Fig 25: Waterwheel and Hammer,16,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_16pg(2).png,Fig 26 : The watermill,16,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_17pg(1).png,Fig 27: The Plant,17,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_17pg(2).png,Fig 28: Circulatory System,17,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_17pg(3).png,"Fig 29 : The work grows ""stone upon stone""",17,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_18pg(1).png,Fig30 : dimensions,18,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_19pg(1).png,"Fig31,32,33 : Twodimensional",19,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_19pg(2).png,Fig 34: Operation in three dimensions,19,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_19pg(3).png,"Fig 35, 36 : Verticallity",19,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_20pg(1).png,Fig 37 : Verticallity,20,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_20pg(2).png,Fig 39: Horizontality,20,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_21pg(1).png,Fig. 41: the insert space box gives the subject a view of the uper plane;,21,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_21pg(2).png,Fig. 42: the insert space box gives the subject a view of the inside plane;,21,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_21pg(3).png,"Fig. 43: in this case, the eye sees the upperplane of the space box neither from above nor from below.",21,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_21pg(4).png,Fig. 44 once more vertical,21,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_21pg(5).png,Fig. 45 The tightrope walker with his pole,21,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_21pg(6).png,Fig. 46: Horizontality,21,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_22pg(1).png,Fig. 47: tightrope walker,22,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_22pg(2).png,Fig. 47: tightrope walker,22,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_22pg(3).png,Fig. 47: tightrope walker,22,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_22pg(4).png,Fig. 47: tightrope walker,22,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_22pg(5).png,Fig. 47: tightrope walker,22,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_22pg(6).png,Fig. 48: Non-symmetrical balance,22,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_22pg(7).png,Fig. 49: Non-symmetrical balance,22,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_23pg(1).png,No discription,23,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_23pg(2).png,No discription,23,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_23pg(3).png,No discription,23,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_24pg(1).png,No discription,24,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_25pg(1).png,"Fig. 54: a bullet, fired at a steep angle, rises with diminishing energy into the air",25,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_25pg(2).png,"Fig. 55: a climber of stairs, ascending with increasing energy from step to step.",25,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_25pg(3).png,no discription,25,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_25pg(4).png,no discription,25,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_25pg(5).png,no discription,25,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_26pg(1).png,"Fig. 60, 61 : Principle of the spinning top",26,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_26pg(2).png,Fig. 62: double top,26,-,-,PedagogicalSketchbook,Paul Klee
,/Users/ohyoungmo/Bauhausorbits/02_PedagogicalSketchbook_EN/02_PedagogicalSketchbook_EN_27pg(1).png,The pendulum,27,-,-,PedagogicalSketchbook,Paul Klee
